drug_a,drug_b,label
Adenocard,digitalis,effect
adenosine,methylxanthines,effect
adenosine,caffeine,effect
adenosine,theophylline,effect
methylxanthines,adenosine,advise
methylxanthines,adenosine,advise
Adenosine,dipyridamole,effect
adenosine,dipyridamole,effect
adenosine,carbamazepine,effect
phenytoin,alcohol,mechanism
phenytoin,amiodarone,mechanism
phenytoin,chlordiazepoxide,mechanism
phenytoin,cimetidine,mechanism
phenytoin,diazepam,mechanism
phenytoin,dicumarol,mechanism
phenytoin,disulfiram,mechanism
phenytoin,estrogens,mechanism
phenytoin,ethosuximide,mechanism
phenytoin,fluoxetine,mechanism
phenytoin,H2-antagonists,mechanism
phenytoin,halothane,mechanism
phenytoin,isoniazid,mechanism
phenytoin,methylphenidate,mechanism
phenytoin,phenothiazines,mechanism
phenytoin,phenylbutazone,mechanism
phenytoin,salicylates,mechanism
phenytoin,succinimides,mechanism
phenytoin,sulfonamides,mechanism
phenytoin,tolbutamide,mechanism
phenytoin,trazodone,mechanism
phenytoin,carbamazepine,mechanism
phenytoin,alcohol,mechanism
phenytoin,reserpine,mechanism
phenytoin,phenobarbital,mechanism
phenytoin,sodium valproate,mechanism
phenytoin,phenobarbital,effect
phenytoin,valproic acid,effect
phenytoin,valproate,effect
tricyclic antidepressants,Cerebyx,effect
phenytoin,anticoagulants,effect
phenytoin,corticosteroids,effect
phenytoin,coumarin,effect
phenytoin,digitoxin,effect
phenytoin,doxycycline,effect
phenytoin,estrogens,effect
phenytoin,furosemide,effect
phenytoin,contraceptives,effect
phenytoin,rifampin,effect
phenytoin,quinidine,effect
phenytoin,theophylline,effect
phenytoin,vitamin D,effect
amiloride,angiotensin-converting enzyme inhibitor,effect
Lithium,diuretics,advise
non-steroidal anti-inflammatory agent,loop,effect
non-steroidal anti-inflammatory agent,potassium-sparing,effect
non-steroidal anti-inflammatory agent,thiazide diuretics,effect
MIDAMOR,non-steroidal anti-inflammatory agents,advise
indomethacin,potassium-sparing diuretics,effect
indomethacin,MIDAMOR,effect
Cimetidine,nicardipine HCl,mechanism
calcium blockers,digitalis preparations,mechanism
digoxin,nicardipine HCl,advise
cyclosporine,nicardipine,advise
L-arginine,cyclosporin,effect
L-arginine,ibuprofen,mechanism
L-arginine,nitrates,effect
L-arginine,sildenafil citrate,effect
theophylline,cetirizine,mechanism
cetirizine,theophylline,mechanism
L-tyrosine,MAO inhibitors,effect
Aspirin,probenecid,effect
Aspirin,sulfinpyrazone,effect
Aspirin,phenylbutazone,effect
Alcohol,aspirin,effect
Corticosteroids,aspirin,effect
Pyrazolone Derivatives,aspirin,effect
phenylbutazone,aspirin,effect
oxyphenbutazone,aspirin,effect
dipyrone,aspirin,effect
Aspirin,nonsteroidal anti-inflammatory,advise
Phenobarbital,aspirin,mechanism
phenytoin,aspirin,effect
Propranolol,aspirins,effect
Aspirin,antacids,advise
PAH,sulfonamides,effect
PAH,procaine,effect
PAH,thiazolesulfone,effect
Probenecid,PAH,mechanism
probenecid,PAH,effect
aminoglycoside antibiotics,cephalosporin antibiotics,effect
probenecid,cefprozil,mechanism
VIRACEPT,Antiarrhythmics,advise
VIRACEPT,amiodarone,advise
VIRACEPT,quinidine,advise
VIRACEPT,Antihistamines,advise
VIRACEPT,astemizole,advise
VIRACEPT,terfenadine,advise
VIRACEPT,ergot derivatives,advise
VIRACEPT,Antimycobacterial agents,advise
VIRACEPT,rifampin,advise
VIRACEPT,Benzodiazepines,advise
VIRACEPT,midazolam,advise
VIRACEPT,triazolam,advise
VIRACEPT,cisapride,advise
VIRACEPT,Antimycobacterial agents,advise
VIRACEPT,rifabutin,advise
VIRACEPT,terfenadine,advise
VIRACEPT,astemizole,advise
indinavir,VIRACEPT,mechanism
ritonavir,VIRACEPT,mechanism
saquinavir,VIRACEPT,mechanism
ketoconazole,VIRACEPT,mechanism
nelfinavir,didanosine,advise
zidovudine,VIRACEPT,advise
rifabutin,VIRACEPT,mechanism
rifabutin,VIRACEPT,advise
rifampin,VIRACEPT,mechanism
VIRACEPT,rifampin,advise
VIRACEPT,OVCON-35,mechanism
Chlorprothixene,lithium,mechanism
chlorprothixene,opioids,advise
chlorprothixene,opioids,effect
chlorprothixene,tramadol,advise
chlorprothixene,Ultram,advise
chlorprothixene,benzodiazepines,effect
chlorprothixene,barbituates,effect
chlorprothixene,anticholinergic drugs,advise
chlorprothixene,tricyclic antidepressants,advise
chlorprothixene,antiparkinsonian agents,advise
codeine,alcohol,effect
codeine,antihistamines,effect
codeine,psychotropics,effect
dextromethorphan,monoamine oxidase inhibitors,effect
dextromethorphan,MAOIs,effect
dextromethorphan hydrobromide,alcohol,effect
dextromethorphan hydrobromide,antihistamines,effect
dextromethorphan hydrobromide,psychotropics,effect
Lamivudine,zalcitabine,effect
lamivudine,zalcitabine,advise
HUMORSOL,succinylcholine,int
HUMORSOL,anticholinesterase agents,int
narcotic analgesics,hydrocodone,effect
antipsychotics,hydrocodone,effect
antianxiety agents,hydrocodone,effect
CNS depressants,hydrocodone,effect
alcohol,hydrocodone,effect
MAO inhibitors,hydrocodone,effect
tricyclic antidepressants,hydrocodone,effect
anticholinergics,hydrocodone,effect
colestipol hydrochloride,propranolol,mechanism
propranolol,COLESTID,advise
chlorothiazide,colestipol hydrochloride,mechanism
tetracycline,colestipol hydrochloride,mechanism
furosemide,colestipol hydrochloride,mechanism
penicillin G,colestipol hydrochloride,mechanism
hydrochlorothiazide,colestipol hydrochloride,mechanism
gemfibrozil,colestipol hydrochloride,mechanism
digitalis preparations,colestipol hydrochloride,effect
colestipol hydrochloride,digoxin,mechanism
colestipol hydrochloride,digitoxin,mechanism
Bile acid binding resins,phosphate,mechanism
Bile acid binding resins,hydrocortisone,mechanism
serotonin reuptake inhibitor drug,monoamine oxidase inhibitors,effect
serotonin reuptake inhibitor drug,MAOI,effect
Fluvoxamine,MAOIs,advise
Fluvoxamine,MAOI,advise
Fluvoxamine,MAOI,advise
Terfenadine,ketoconazole,mechanism
astemizole,ketoconazole,mechanism
cisapride,ketoconazole,mechanism
fluvoxamine,alprazolam,int
fluvoxamine,terbinafine,advise
fluvoxamine,astemizole,advise
fluvoxamine,cisapride,advise
Benzodiazepines,fluvoxamine,mechanism
alprazolam,fluvoxamine,mechanism
midazolam,fluvoxamine,mechanism
triazolam,fluvoxamine,mechanism
fluvoxamine maleate,alprazolam,mechanism
alprazolam,Fluvoxamine,advise
Fluvoxamine,diazepam,advise
fluvoxamine,diazepam,mechanism
fluvoxamine,N-desmethyldiazepam,mechanism
fluvoxamine,diazepam,advise
alprazolam,fluvoxamine,effect
diazepam,fluvoxamine,advise
theophylline,fluvoxamine maleate,advise
fluvoxamine maleate,warfarin,mechanism
anticoagulants,Fluvoxamine,advise
nabumetone,warfarin,advise
warfarin,NSAIDs,int
Flurbiprofen,anti-coagulants,effect
nonsteroidal anti-inflammatory drugs,anti-coagulants,effect
flurbiprofen,anticoagulants,advise
aspirin,flurbiprofen,mechanism
flurbiprofen,aspirin,advise
Flurbiprofen,propranolol,effect
Flurbiprofen,propranolol,int
flurbiprofen,beta-blocker,advise
flurbiprofen,cimetidine,mechanism
flurbiprofen,furosemide,effect
nonsteroidal anti-inflammatory drugs,furosemide,effect
nonsteroidal anti-inflammatory drugs,thiazide diuretics,effect
nonsteroidal anti-inflammatory drugs,potassium-sparing diuretics,effect
flurbiprofen,furosemide,advise
flurbiprofen,diuretics,advise
flurbiprofen,hypoglycemic agents,effect
reserpine,beta-blocking agent,effect
Calcium channel blockers,TENORMIN,effect
Beta blockers,clonidine,effect
beta blocker,clonidine,advise
beta blockers,clonidine,advise
indomethacin,beta blockers,effect
azathioprine,allopurinol,mechanism
azathioprine,allopurinol,advise
angiotensin converting enzyme inhibitors,azathioprine,effect
WELLBUTRIN,orphenadrine,int
WELLBUTRIN,cyclophosphamide,int
bupropion,carbamazepine,mechanism
bupropion,phenobarbital,mechanism
bupropion,phenytoin,mechanism
bupropion,desipramine,mechanism
bupropion,antidepressants,advise
bupropion,nortriptyline,advise
bupropion,imipramine,advise
bupropion,desipramine,advise
bupropion,paroxetine,advise
bupropion,fluoxetine,advise
bupropion,sertraline,advise
bupropion,antipsychotics,advise
bupropion,haloperidol,advise
bupropion,risperidone,advise
bupropion,thioridazine,advise
bupropion,beta-blockers,advise
bupropion,metoprolol,advise
bupropion,Type 1C antiarrhythmics,advise
bupropion,propafenone,advise
bupropion,flecainide,advise
bupropion,phenelzine,effect
bupropion,levodopa,effect
bupropion,amantadine,effect
WELLBUTRIN,levodopa,advise
WELLBUTRIN,amantadine,advise
WELLBUTRIN,antipsychotics,advise
WELLBUTRIN,antidepressants,advise
WELLBUTRIN,theophylline,advise
WELLBUTRIN,steroids,advise
alcohol,WELLBUTRIN,effect
alcohol,WELLBUTRIN,advise
aminoglycosides,MAXIPIME,advise
cephalosporins,diuretics,effect
cephalosporins,furosemide,effect
nisoldipine,cimetidine 400 mg,mechanism
phenytoin,SULAR,mechanism
SULAR,phenytoin,advise
Propranolol,nisoldipine,effect
SULAR,atenolol,effect
Quinidine,nisoldipine,mechanism
nisoldipine,quinidine,mechanism
butorphanol,central nervous system depressants,effect
butorphanol,alcohol,effect
butorphanol,barbiturates,effect
butorphanol,tranquilizers,effect
butorphanol,antihistamines,effect
STADOL NS,sumatriptan,mechanism
STADOL NS,sumatriptan,mechanism
STADOL NS,sumatriptan,effect
butorphanol,erythromycin,advise
STADOL NS,nasal vasoconstrictor,effect
barbiturates,ketamine,effect
narcotics,ketamine,effect
Amantadine,clidinium,effect
tricyclic antidepressants,clidinium,effect
MAOIs,clidinium,effect
Clidinium,phenothiazines,effect
Clidinium,levodopa,effect
Clidinium,ketoconazole,effect
vitamin B12,folic acid,int
allopurinol,VIDEX,mechanism
antacids,VIDEX,effect
magnesium,VIDEX,effect
aluminum,VIDEX,effect
ketoconazole,VIDEX,advise
itraconazole,VIDEX,advise
VIDEX,ganciclovir,mechanism
VIDEX,ganciclovir,mechanism
VIDEX,ciprofloxacin,advise
ciprofloxacin,magnesium,mechanism
ciprofloxacin,calcium,mechanism
ciprofloxacin,aluminum,mechanism
ciprofloxacin,VIDEX,mechanism
ciprofloxacin,didanosine,mechanism
ciprofloxacin,didanosine,mechanism
quinolone antibiotics,magnesium,mechanism
quinolone antibiotics,calcium,mechanism
quinolone antibiotics,aluminum,mechanism
delavirdine,VIDEX,mechanism
indinavir,VIDEX,mechanism
delavirdine,VIDEX,advise
indinavir,VIDEX,advise
narcotic analgesic,DILAUDID,effect
anesthetics,DILAUDID,effect
phenothiazines,DILAUDID,effect
tranquilizers,DILAUDID,effect
sedative-hypnotics,DILAUDID,effect
tricyclic antidepressants,DILAUDID,effect
CNS depressants,DILAUDID,effect
alcohol,DILAUDID,effect
D.H.E. 45,peripheral vasoconstrictors,effect
dihydroergotamine mesylate,peripheral vasoconstrictors,effect
Sumatriptan,D.H.E. 45,effect
Sumatriptan,dihydroergotamine mesylate,effect
Sumatriptan,D.H.E. 45,advise
Sumatriptan,dihydroergotamine mesylate,advise
propranolol,ergotamine,effect
Nicotine,ergot,effect
ergot alkaloid class,macrolide class,mechanism
D.H.E. 45,macrolide class,mechanism
dihydroergotamine mesylate,macrolide class,mechanism
ergotamine,antibiotics,effect
5-HT1 agonists,SSRIs,effect
ALFENTA,CNS depressants,effect
ALFENTA,barbiturates,effect
ALFENTA,tranquilizers,effect
ALFENTA,opioids,effect
ALFENTA,anesthetics,effect
volatile inhalation anesthetics,ALFENTA,mechanism
erythromycin,ALFENTA,mechanism
Cimetidine,ALFENTA,mechanism
Ketoconazole,terfenadine,mechanism
ketoconazole,astemizole,effect
astemizole,ketoconazole,advise
ketoconazole,cisapride,mechanism
ketoconazole,cisapride,effect
ketoconazole,cisapride,advise
Ketoconazole,cyclosporine,mechanism
Ketoconazole,tacrolimus,mechanism
Ketoconazole,methylprednisolone,mechanism
NIZORAL,midazolam,mechanism
NIZORAL,triazolam,mechanism
digoxin,ketoconazole,advise
imidazole compounds,coumarin,effect
ketoconazole,coumarin,effect
imidazole drugs,coumarin drugs,advise
miconazole,hypoglycemic agents,effect
ketoconazole,phenytoin,mechanism
ketoconazole,phenytoin,advise
rifampin,ketoconazole,mechanism
INH,ketoconazole,mechanism
Isoniazid,ketoconazole,mechanism
ketoconazole,loratadine,mechanism
diuretics,captopril,effect
captopril,diuretic,effect
nitroglycerin,captopril,advise
nitrates,captopril,advise
Captopril,antihypertensive agents,effect
Beta-adrenergic blocking drugs,captopril,effect
indomethacin,captopril,effect
lithium,ACE inhibitor,effect
diuretic,lithium,effect
celecoxib,fluconazole,int
celecoxib,lithium,int
nonsteroidal anti-inflammatory drugs,furosemide,int
nonsteroidal anti-inflammatory drugs,ACE inhibitors,int
NSAIDs,furosemide,int
NSAIDs,ACE inhibitors,int
NSAIDs,Angiotensin Converting Enzyme (ACE) inhibitors,effect
CELEBREX,ACE-inhibitors,advise
NSAIDs,furosemide,effect
NSAIDs,thiazides,effect
CELEBREX,aspirin,advise
aspirin,CELEBREX,effect
fluconazole,celecoxib,mechanism
celecoxib,fluconazole,mechanism
CELEBREX,fluconazole,advise
lithium,CELEBREX,mechanism
lithium,CELEBREX,advise
CELEBREX,warfarin,advise
bumetanide,aminoglycoside antibiotics,advise
Lithium,diuretics,advise
Lithium,bumetanide,advise
probenecid,bumetanide,effect
probenecid,bumetanide,mechanism
probenecid,bumetanide,advise
Indomethacin,bumetanide,mechanism
Indomethacin,bumetanide,effect
Bumetanide,antihypertensive drugs,effect
anticoagulants,chlordiazepoxide,effect
Diphenoxylate HCl,MAO inhibitors,int
atropine sulfate,MAO inhibitors,int
lymecycline,iron,mechanism
lymecycline,zinc,mechanism
contraceptives,lymecycline,effect
nitazoxanide,warfarin,mechanism
FLUOTHANE,non-depolarising muscle relaxant,effect
FLUOTHANE,aminoglycosides,effect
FLUOTHANE,tubocurarine,effect
adrenaline,FLUOTHANE,advise
anticoagulants,thyroid,advise
Cholestyramine,T4,mechanism
Cholestyramine,T3,mechanism
cholestyramine,thyroid hormones,advise
levothyroxine,estrogens,mechanism
thyroid,estrogens,advise
thyroid,contraceptives,advise
thyroid products,imipramine,effect
thyroid products,tricyclic antidepressants,effect
Thyroid preparations,digitalis,effect
thyroid preparation,anesthetic,effect
Thyroxine,epinephrine,effect
Thyroxine,norepinephrine,effect
oxyphenbutazone,androgens,mechanism
androgens,insulin,effect
ergotamine,naratriptan,advise
ergot-type medications,naratriptan,advise
dihydroergotamine,naratriptan,advise
methysergide,naratriptan,advise
naratriptan,5-HT1 agonists,advise
naratriptan,SSRI,advise
cefdinir,Maalox TC,mechanism
OMNICEF,antacid,advise
b-lactam antibiotics,cefdinir,mechanism
probenecid,cefdinir,mechanism
cefdinir,iron,mechanism
cefdinir,iron,mechanism
iron supplements,OMNICEF,advise
cefdinir,iron,mechanism
clarithromycin,cisapride,mechanism
erythromycin,cisapride,mechanism
troleandomycin,cisapride,mechanism
anticholinergic compounds,cisapride,effect
belladonna alkaloids,cisapride,effect
dicyclomine,cisapride,effect
cisapride,anticoagulant,advise
nefazodone,cisapride,mechanism
fluconazole,cisapride,mechanism
itraconazole,cisapride,mechanism
ketoconazole,cisapride,mechanism
ketoconazole,cisapride,mechanism
cisapride,ketoconazole,effect
Cimetidine,cisapride,mechanism
cimetidine,cisapride,mechanism
ranitidine,cisapride,mechanism
indinavir,cisapride,mechanism
ritonavir,cisapride,mechanism
Cisapride,antiarrhythmics,advise
Cisapride,quinidine,advise
Cisapride,procainamide,advise
Cisapride,sotalol,advise
Cholestyramine,fat soluble vitamins,mechanism
phenytoin,calcitriol,mechanism
phenobarbital,calcitriol,mechanism
thiazides,vitamin D,effect
Vitamin D,digitalis,advise
Ketoconazole,vitamin D,mechanism
vitamin D analogues,corticosteroids,mechanism
Magnesium,vitamin D,advise
antacids,vitamin D,advise
calcium,EMCYT,mechanism
hydroxyurea,uricosuric medication,effect
PROSTIN E2,oxytocic drugs,effect
cholestyramine,leflunomide,mechanism
activated charcoal,leflunomide,mechanism
ARAVA,methotrexate,effect
ARAVA,rifampin,mechanism
ARAVA,rifampin,advise
ARAVA,warfarin,effect
ketoconazole,lapatinib,mechanism
carbamazepine,lapatinib,mechanism
psychotropic medications,LEXAPRO,advise
alcohol,LEXAPRO,advise
psychotropic drugs,NSAID,effect
psychotropic drugs,aspirin,effect
citalopram,cimetidine,mechanism
lithium,escitalopram,effect
LEXAPRO,lithium,advise
pimozide,citalopram,effect
selective serotonin reuptake inhibitor,sumatriptan,effect
SSRI,sumatriptan,effect
sumatriptan,SSRI,advise
sumatriptan,fluoxetine,advise
sumatriptan,fluvoxamine,advise
sumatriptan,paroxetine,advise
sumatriptan,sertraline,advise
sumatriptan,citalopram,advise
sumatriptan,escitalopram,advise
carbamazepine,escitalopram,mechanism
citalopram,ketoconazole,mechanism
escitalopram,desipramine,mechanism
LEXAPRO,metoprolol,mechanism
escitalopram,citalopram,advise
escitalopram,Celexa,advise
CNS depressant drugs,INAPSINE,effect
barbiturates,INAPSINE,effect
tranquilizers,INAPSINE,effect
opioids,INAPSINE,effect
anesthetics,INAPSINE,effect
INAPSINE,CNS depressant drugs,advise
Beta-blockers,insulin,effect
clonidine,insulin,effect
lithium,insulin,effect
alcohol,insulin,effect
lithium,ACE inhibitors,mechanism
lithium,angiotensin II receptor antagonists,mechanism
lithium,ATACAND,mechanism
CRIXIVAN,atazanavir,advise
CRIXIVAN,delavirdine,advise
Indinavir,didanosine,advise
indinavir,efavirenz,mechanism
Indinavir,nevirapine,mechanism
indinavir,ritonavir,effect
antiarrhythmics,CRIXIVAN,advise
CRIXIVAN,indinavir,effect
atorvastatin,CRIXIVAN,advise
HMG-CoA reductase inhibitors,CRIXIVAN,advise
CRIXIVAN,itraconazole,advise
rifabutin,CRIXIVAN,advise
Sildenafil,indinavir,advise
Tadalafil,indinavir,advise
Vardenafil,indinavir,advise
ENABLEX,ketoconazole,advise
ENABLEX,itraconazole,advise
ENABLEX,ritonavir,advise
ENABLEX,nelfinavir,advise
ENABLEX,clarithromycin,advise
ENABLEX,flecainide,advise
ENABLEX,thioridazine,advise
ENABLEX,tricyclic antidepressants,advise
ENABLEX,anticholinergic agents,effect
butalbital,monoamine oxidase (MAO) inhibitors,effect
Butalbital,narcotic analgesic,effect
Butalbital,alcohol,effect
Butalbital,anesthetics,effect
Butalbital,tranquilizers,effect
Butalbital,chlordiazepoxide,effect
Butalbital,sedative-hypnotics,effect
Butalbital,CNS depressants,effect
acetaminophen,narcotic analgesic,effect
acetaminophen,alcohol,effect
acetaminophen,anesthetics,effect
acetaminophen,tranquilizers,effect
acetaminophen,chlordiazepoxide,effect
acetaminophen,sedative-hypnotics,effect
acetaminophen,CNS depressants,effect
caffeine,narcotic analgesic,effect
caffeine,alcohol,effect
caffeine,anesthetics,effect
caffeine,tranquilizers,effect
caffeine,chlordiazepoxide,effect
caffeine,sedative-hypnotics,effect
caffeine,CNS depressants,effect
Rifampin,losartan,mechanism
Fluconazole,losartan,mechanism
losartan,indomethacin,effect
BOTOX,aminoglycosides,advise
BOTOX,curare-like compounds,advise
botulinum toxin,botulinum toxin,effect
Warfarin,Meclofenamate sodium,effect
meclofenamate sodium,warfarin,advise
aspirin,meclofenamate sodium,mechanism
Starlix,tolbutamide,mechanism
nonsteroidal anti-inflammatory agents,Starlix,effect
nonsteroidal anti-inflammatory agents,antidiabetic drugs,effect
NSAIDs,Starlix,effect
NSAIDs,antidiabetic drugs,effect
salicylates,Starlix,effect
salicylates,antidiabetic drugs,effect
monoamine oxidase inhibitors,Starlix,effect
monoamine oxidase inhibitors,antidiabetic drugs,effect
non-selective beta-adrenergic-blocking agents,Starlix,effect
non-selective beta-adrenergic-blocking agents,antidiabetic drugs,effect
thiazides,Starlix,effect
thiazides,antidiabetic drugs,effect
corticosteroids,Starlix,effect
corticosteroids,antidiabetic drugs,effect
thyroid products,Starlix,effect
thyroid products,antidiabetic drugs,effect
sympathomimetics,Starlix,effect
sympathomimetics,antidiabetic drugs,effect
PLETAL,ketoconazole,advise
PLETAL,erythromycin,advise
PLETAL,omeprazole,advise
omeprazole,cilostazol,mechanism
erythromycin,cilostazol,mechanism
cilostazol,diltiazem,mechanism
idoxuridine,boric acid,advise
Boric acid,idoxuridine,mechanism
CASODEX,coumarin anticoagulant,mechanism
CASODEX,warfarin,mechanism
CASODEX,coumarin anticoagulants,advise
CASODEX,anticoagulant,advise
warfarin,ketorolac tromethamine,mechanism
salicylate,ketorolac,mechanism
TORADOL,anticoagulants,advise
TORADOL,furosemide,effect
TORADOL,probenecid,mechanism
TORADOL,probenecid,advise
lithium,TORADOL,mechanism
methotrexate,NSAIDs,mechanism
TORADOL,antiepileptic drugs,effect
TORADOL,phenytoin,effect
TORADOL,carbamazepine,effect
TORADOL,psychoactive drugs,effect
TORADOL,fluoxetine,effect
TORADOL,thiothixene,effect
TORADOL,alprazolam,effect
TAMBOCOR,digoxin,mechanism
TAMBOCOR,propranolol,mechanism
TAMBOCOR,propranolol,effect
beta blockers,flecainide,effect
phenytoin,flecainide,mechanism
phenobarbital,flecainide,mechanism
carbamazepine,flecainide,mechanism
cimetidine,flecainide,mechanism
amiodarone,flecainide,mechanism
quinidine,flecainide,mechanism
disopyramide,TAMBOCOR,advise
verapamil,TAMBOCOR,advise
anileridine,opioids,advise
anileridine,sedatives,advise
anileridine,phenothiazines,advise
anileridine,anesthetics,advise
Tiagabine,valproate,mechanism
tiagabine,carbamazepine,mechanism
tiagabine,phenytoin,mechanism
tiagabine,phenobarbital,mechanism
tiagabine,primidone,mechanism
valproate,tiagabine,mechanism
ethanol,tiagabine,advise
triazolam,tiagabine,advise
piperacillin,aminoglycoside,effect
piperacillin,vecuronium,effect
piperacillin,vecuronium,effect
non-depolarizing muscle relaxants,piperacillin,effect
probenecid,PIPRACIL,mechanism
Piperacillin sodium,methotrexate,mechanism
calcium channel blockers,Nimotop,effect
Nimotop,antihypertensive compounds,effect
cimetidine,nimodipine,mechanism
ETOPOPHOS,levamisole hydrochloride,advise
cyclosporin A,etoposide,mechanism
ipratropium bromide,anticholinergic medications,effect
ATROVENT,anticholinergic,advise
vitamin K antagonists,nilutamide,advise
probenecid,acyclovir,mechanism
cyclophosphamide,phenobarbital,mechanism
Cyclophosphamide,succinylcholine chloride,effect
adrenergic drugs,BROVANA,advise
methylxanthines,adrenergic agonists,effect
aminophylline,adrenergic agonists,effect
theophylline,adrenergic agonists,effect
steroids,adrenergic agonists,effect
diuretics,adrenergic agonists,effect
non-potassium sparing diuretics,beta-agonists,effect
loop,beta-agonists,effect
thiazide diuretics,beta-agonists,effect
beta-agonists,non-potassium sparing diuretics,advise
BROVANA,monoamine oxidase inhibitors,advise
BROVANA,tricyclic antidepressants,advise
beta2-agonists,monoamine oxidase inhibitors,advise
beta2-agonists,tricyclic antidepressants,advise
monoamine oxidase inhibitors,adrenergic agonists,effect
tricyclic antidepressants,adrenergic agonists,effect
Beta-adrenergic receptor antagonists,BROVANA,effect
beta-blockers,BROVANA,effect
Beta-blockers,beta-agonists,effect
CAMPTOSAR,antineoplastic agents,effect
CAMPTOSAR,dexamethasone,effect
prochlorperazine,CAMPTOSAR,effect
laxative,CAMPTOSAR,effect
diuretics,CAMPTOSAR,effect
diuretics,Lotensin,effect
diuretic,Lotensin,advise
Potassium-Sparing Diuretics,thiazide diuretics,effect
ACE inhibitors,lithium,mechanism
diuretic,lithium,effect
Benazepril,beta-adrenergic blockers,effect
ACE inhibitors,beta-adrenergic blockers,effect
theophylline,quinolones,mechanism
theophylline,quinolone,effect
Quinolones,caffeine,mechanism
cinoxacin,caffeine,advise
Antacids,quinolones,mechanism
sucralfate,quinolones,mechanism
quinolones,iron,mechanism
quinolones,zinc,mechanism
quinolones,Videx,mechanism
quinolones,didanosine,mechanism
Quinolones,anticoagulants,effect
Quinolones,warfarin,effect
cinoxacin,anticoagulants,effect
cinoxacin,warfarin,effect
quinolone class antimicrobial,nonsteroidal anti-inflammatory drug,effect
quinolone class antimicrobial,fenbufen,effect
cinoxacin,nonsteroidal anti-inflammatory agents,advise
quinolones,cyclosporine,mechanism
PEGASYS,theophylline,mechanism
theophylline,PEGASYS,advise
COPEGUS,didanosine,advise
Ribavirin,stavudine,effect
Ribavirin,zidovudine,effect
HEMABATE,oxytocic agents,effect
Erythromycin,vardenafil,mechanism
Vardenafil,erythromycin,advise
Ketoconazole,vardenafil,mechanism
Vardenafil,ketoconazole,advise
Vardenafil,ketoconazole,advise
Indinavir,Vardenafil,mechanism
Vardenafil,indinavir,advise
Ritonavir,Vardenafil,mechanism
vardenafil,ritonavir,mechanism
Ritonavir,vardenafil,mechanism
Vardenafil,ritonavir,advise
nitrates,vardenafil,mechanism
Vardenafil,nitrates,advise
nifedipine,Vardenafil,effect
Vardenafil,terazosin,effect
Vardenafil,terazosin,effect
Vardenafil,terazosin,effect
Vardenafil,terazosin,effect
Vardenafil,tamsulosin,effect
Vardenafil,tamsulosin,effect
Vardenafil,alpha-blocker,advise
Vardenafil,ritonavir,mechanism
Vardenafil,indinavir,mechanism
antacids,lactulose,mechanism
Anagrelide,aspirin,effect
fluvoxamine,anagrelide,mechanism
Anagrelide,theophylline,mechanism
milrinone,anagrelide,effect
enoximone,anagrelide,effect
amrinone,anagrelide,effect
olprinone,anagrelide,effect
cilostazol,anagrelide,effect
sucralfate,anagrelide,mechanism
dantrolene sodium,calcium channel blockers,advise
dantrolene sodium,verapamil,advise
dantrolene,vecuronium,effect
iloprost,vasodilators,effect
iloprost,antihypertensive agents,effect
iloprost,anticoagulants,effect
fexofenadine hydrochloride,ketoconazole,mechanism
fexofenadine hydrochloride,erythromycin,mechanism
ketoconazole,fexofenadine,mechanism
erythromycin,fexofenadine,mechanism
ketoconazole,fexofenadine,mechanism
fexofenadine hydrochloride,aluminum,mechanism
fexofenadine hydrochloride,magnesium,mechanism
fexofenadine hydrochloride,antacid,mechanism
fexofenadine hydrochloride,Maalox,mechanism
ALLEGRA,aluminum,advise
ALLEGRA,magnesium,advise
Fenfluramine,antihypertensive drugs,effect
Fenfluramine,guanethidine,effect
Fenfluramine,methyldopa,effect
Fenfluramine,reserpine,effect
CNS depressant drugs,fenfluramine,advise
Netilmicin,loop diuretics,advise
Netilmicin,furosemide,advise
Netilmicin,ethacrynic acid,advise
rauwolfia alkaloid,MAO inhibitors,effect
Exjade,aluminum,advise
doxapram,sympathomimetic,effect
doxapram,monoamine oxidase inhibiting drugs,effect
doxapram,muscle relaxant drugs,effect
Betaseron,antipyrine,mechanism
ketoconazole,erlotinib,mechanism
TARCEVA,ketoconazole,advise
TARCEVA,atazanavir,advise
TARCEVA,clarithromycin,advise
TARCEVA,indinavir,advise
TARCEVA,itraconazole,advise
TARCEVA,nefazodone,advise
TARCEVA,nelfinavir,advise
TARCEVA,ritonavir,advise
TARCEVA,saquinavir,advise
TARCEVA,telithromycin,advise
TARCEVA,troleandomycin,advise
TARCEVA,TAO,advise
TARCEVA,voriconazole,advise
rifampicin,erlotinib,mechanism
TARCEVA,rifampicin,advise
Ethopropazine,alcohol,effect
Ethopropazine,CNS depressants,effect
Ethopropazine,chlorpromazine,mechanism
capecitabine,coumarin-derivative anticoagulants,effect
capecitabine,phenprocoumon,effect
coumarin-derivative anticoagulants,capecitabine,advise
5-fluorouracil,leucovorin,mechanism
leucovorin,fluorouracil,effect
dobutamine,b-blocking drug,effect
dobutamine,nitroprusside,effect
Isoflurane,muscle relaxants,effect
Isoflurane,nondepolarizing muscle relaxants,effect
cimetidine,isradipine,mechanism
isradipine,cimetidine,advise
rifampicin,isradipine,mechanism
rifampicin,isradipine,mechanism
fentanyl,beta blocker,effect
fentanyl,calcium channel blocker,effect
epinephrine,monoamine oxidase inhibitors,effect
